Info    2021-04-08 14:54:27:0446  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2241)  ProcessName:python.exe(15424)     Description:GigE StreamInterEventThread Start, ThreadId[7404]     Solution:
Info    2021-04-08 15:33:30:0507  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0157)  ProcessName:python.exe(8600)     Description:GigEVision Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MVGigEVisionSDK.dll]     Solution:
Info    2021-04-08 15:33:30:0510  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0287)  ProcessName:python.exe(8600)     Description:Get Driver Mode, DriverMode[1]     Solution:
Info    2021-04-08 15:33:30:0510  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1210)  ProcessName:python.exe(8600)     Description:Connecting device, GvspDstIP[192.168.1.102], GvspDstPort[59807], DeviceIP[192.168.1.100]     Solution:
Info    2021-04-08 15:33:30:0878  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVCP.cpp-L0042)  ProcessName:python.exe(8600)     Description:GVCP HeartBeatThread Start, ThreadId[6808]     Solution:
Info    2021-04-08 15:33:30:0882  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1087)  ProcessName:python.exe(8600)     Description:Driver mode start!     Solution:
Info    2021-04-08 15:33:31:0044  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2241)  ProcessName:python.exe(8600)     Description:GigE StreamInterEventThread Start, ThreadId[12436]     Solution:
Info    2021-04-08 15:33:31:0044  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2423)  ProcessName:python.exe(8600)     Description:GigE SendRsdCmdThread Start, ThreadId[13076]     Solution:
Info    2021-04-08 15:59:56:0753  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0157)  ProcessName:python.exe(2244)     Description:GigEVision Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MVGigEVisionSDK.dll]     Solution:
Info    2021-04-08 15:59:56:0755  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0287)  ProcessName:python.exe(2244)     Description:Get Driver Mode, DriverMode[1]     Solution:
Info    2021-04-08 15:59:56:0756  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1210)  ProcessName:python.exe(2244)     Description:Connecting device, GvspDstIP[192.168.1.102], GvspDstPort[61659], DeviceIP[192.168.1.100]     Solution:
Info    2021-04-08 15:59:57:0147  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVCP.cpp-L0042)  ProcessName:python.exe(2244)     Description:GVCP HeartBeatThread Start, ThreadId[8196]     Solution:
Info    2021-04-08 15:59:57:0150  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1087)  ProcessName:python.exe(2244)     Description:Driver mode start!     Solution:
Info    2021-04-08 15:59:57:0312  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2423)  ProcessName:python.exe(2244)     Description:GigE SendRsdCmdThread Start, ThreadId[7292]     Solution:
Info    2021-04-08 15:59:57:0312  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2241)  ProcessName:python.exe(2244)     Description:GigE StreamInterEventThread Start, ThreadId[13664]     Solution:
