Info    2021-04-08 14:24:53:0449  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2238)  ProcessName:python.exe(17020)     Description:Start grabbing success, There is no registration callback.     Solution:
Info    2021-04-08 14:30:53:0120  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0834)  ProcessName:python.exe(10776)     Description:[GEV Info]DeviceIP[192.168.1.100], NetIP[192.168.1.102], ManufacturerInfo[GEV], DeviceVersion[V2.8.0 171016], UserID[]     Solution:
Info    2021-04-08 14:30:53:0120  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0949)  ProcessName:python.exe(10776)     Description:CameraControl Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MvCameraControl.dll]     Solution:
Info    2021-04-08 14:30:53:0120  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0952)  ProcessName:python.exe(10776)     Description:[MV_CC_CreateHandle]IsWriteLog[1], Ret[0x0]     Solution:
Info    2021-04-08 14:30:53:0120  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7638)  ProcessName:python.exe(10776)     Description:CamCtrl[0x3040200], GigE SDKVersion[0x3040100], DriverVersion[0x3040001]     Solution:
Info    2021-04-08 14:30:53:0524  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L3106)  ProcessName:python.exe(10776)     Description:[GetGenICamXML]Get XML success!     Solution:
Info    2021-04-08 14:30:53:0614  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L4899)  ProcessName:python.exe(10776)     Description:[MV_CC_InvalidateNodes]Invalidate Nodes success     Solution:
Info    2021-04-08 14:30:53:0618  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L1392)  ProcessName:python.exe(10776)     Description:[MV_CC_OpenDevice]Open device success! PrivilegeMode[1], SwitchoverKey[0], DeviceUptime[612]     Solution:
Info    2021-04-08 14:30:53:0669  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2082)  ProcessName:python.exe(10776)     Description:[GEV]Width[1280], Height[960], PixelFormat[0x1080001], PayloadSize[1228800], ChunkCount[0], CompressMode[0], DeviceUptime[612]     Solution:
Info    2021-04-08 14:30:53:0688  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7256)  ProcessName:python.exe(10776)     Description:CamCtrl RecvThread Start, ThreadId[6112]     Solution:
Info    2021-04-08 14:30:53:0689  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7066)  ProcessName:python.exe(10776)     Description:CamCtrl Display Thread Start, ThreadId[15780]     Solution:
Info    2021-04-08 14:30:53:0702  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2238)  ProcessName:python.exe(10776)     Description:Start grabbing success, There is no registration callback.     Solution:
Info    2021-04-08 14:54:26:0867  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0834)  ProcessName:python.exe(15424)     Description:[GEV Info]DeviceIP[192.168.1.100], NetIP[192.168.1.102], ManufacturerInfo[GEV], DeviceVersion[V2.8.0 171016], UserID[]     Solution:
Info    2021-04-08 14:54:26:0867  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0949)  ProcessName:python.exe(15424)     Description:CameraControl Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MvCameraControl.dll]     Solution:
Info    2021-04-08 14:54:26:0867  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0952)  ProcessName:python.exe(15424)     Description:[MV_CC_CreateHandle]IsWriteLog[1], Ret[0x0]     Solution:
Info    2021-04-08 14:54:26:0867  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7638)  ProcessName:python.exe(15424)     Description:CamCtrl[0x3040200], GigE SDKVersion[0x3040100], DriverVersion[0x3040001]     Solution:
Info    2021-04-08 14:54:27:0284  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L3106)  ProcessName:python.exe(15424)     Description:[GetGenICamXML]Get XML success!     Solution:
Info    2021-04-08 14:54:27:0370  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L4899)  ProcessName:python.exe(15424)     Description:[MV_CC_InvalidateNodes]Invalidate Nodes success     Solution:
Info    2021-04-08 14:54:27:0373  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L1392)  ProcessName:python.exe(15424)     Description:[MV_CC_OpenDevice]Open device success! PrivilegeMode[1], SwitchoverKey[0], DeviceUptime[2026]     Solution:
Info    2021-04-08 14:54:27:0427  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2082)  ProcessName:python.exe(15424)     Description:[GEV]Width[1280], Height[960], PixelFormat[0x1080001], PayloadSize[1228800], ChunkCount[0], CompressMode[0], DeviceUptime[2026]     Solution:
Info    2021-04-08 14:54:27:0446  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7256)  ProcessName:python.exe(15424)     Description:CamCtrl RecvThread Start, ThreadId[13128]     Solution:
Info    2021-04-08 14:54:27:0447  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7066)  ProcessName:python.exe(15424)     Description:CamCtrl Display Thread Start, ThreadId[10592]     Solution:
Info    2021-04-08 14:54:27:0461  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L2238)  ProcessName:python.exe(15424)     Description:Start grabbing success, There is no registration callback.     Solution:
Info    2021-04-08 15:33:30:0506  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0834)  ProcessName:python.exe(8600)     Description:[GEV Info]DeviceIP[192.168.1.100], NetIP[192.168.1.102], ManufacturerInfo[GEV], DeviceVersion[V2.8.0 171016], UserID[]     Solution:
Info    2021-04-08 15:33:30:0506  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0949)  ProcessName:python.exe(8600)     Description:CameraControl Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MvCameraControl.dll]     Solution:
